subtest_name,specific_subtest_id,age,education_level,gender,N,mean,SD,10th_perc,25th_perc,50th_perc,75th_perc,90th_perc
Trail making part A,39,70-99,HS/Some HS,Female,1596,31.62,17.06,44,34,28,23,21
Trail making part A,39,70-99,College/Some college/Associate's,Male,3514,33.71,19.32,46,36,29,25,22
Trail making part A,39,70-99,College/Some college/Associate's,Female,6684,31.54,17.86,43,33,27,23,21
Trail making part A,39,70-99,Professional deg./Ph.D./Master's,Male,3110,33.77,18.3,46,36,29,25,22
Trail making part A,39,70-99,Professional deg./Ph.D./Master's,Female,3611,31.47,17.24,43,33,28,24,21
Trail making part B,40,18-29,HS/Some HS,Male,5664,38.85,16.83,57,45,35,28,24
Trail making part B,40,18-29,HS/Some HS,Female,2764,37.85,17.66,55,43,34,27,23
Trail making part B,40,18-29,College/Some college/Associate's,Male,19676,33.65,13.04,48,39,31,25,21
Trail making part B,40,18-29,College/Some college/Associate's,Female,15791,33.2,12.85,47,38,30,25,22
Trail making part B,40,18-29,Professional deg./Ph.D./Master's,Male,3411,32.47,12.85,47,37,30,24,20
Trail making part B,40,18-29,Professional deg./Ph.D./Master's,Female,3967,32.03,11.6,44,36,30,25,21
Trail making part B,40,30-39,HS/Some HS,Male,1890,42.08,20.78,63,48,37,30,25
Trail making part B,40,30-39,HS/Some HS,Female,1224,40.94,19.77,60,46,36,29,25
Trail making part B,40,30-39,College/Some college/Associate's,Male,11350,35.72,15.15,52,41,32,26,22
Trail making part B,40,30-39,College/Some college/Associate's,Female,10840,35.66,15.4,52,40,32,27,23
Trail making part B,40,30-39,Professional deg./Ph.D./Master's,Male,5280,33.83,14.44,49,38,31,25,21
Trail making part B,40,30-39,Professional deg./Ph.D./Master's,Female,6442,33.76,13.57,48,38,31,26,22
Trail making part B,40,40-49,HS/Some HS,Male,1735,45.12,21.85,70,52,40,31,27
Trail making part B,40,40-49,HS/Some HS,Female,2014,43.5,22.42,66,49,38,30,26
Trail making part B,40,40-49,College/Some college/Associate's,Male,8846,38.87,19.49,58,44,34,28,23
Trail making part B,40,40-49,College/Some college/Associate's,Female,13808,39.23,18.9,58,44,34,28,24
Trail making part B,40,40-49,Professional deg./Ph.D./Master's,Male,4832,36.37,17.29,54,41,32,26,23
Trail making part B,40,40-49,Professional deg./Ph.D./Master's,Female,7526,36.74,16.89,54,41,33,27,23
Trail making part B,40,50-59,HS/Some HS,Male,2124,51.11,26.97,79,58,44,35,29
Trail making part B,40,50-59,HS/Some HS,Female,4077,48.31,26.11,73,54,41,33,28
Trail making part B,40,50-59,College/Some college/Associate's,Male,9870,44.77,23.27,67,50,39,31,27
Trail making part B,40,50-59,College/Some college/Associate's,Female,23166,43.99,22.84,66,49,38,31,27
Trail making part B,40,50-59,Professional deg./Ph.D./Master's,Male,5032,41.77,21.83,63,47,36,30,25
Trail making part B,40,50-59,Professional deg./Ph.D./Master's,Female,11063,41.38,20.8,61,46,36,30,26
Trail making part B,40,60-69,HS/Some HS,Male,1331,60.99,34.5,98,70,51,40,33
Trail making part B,40,60-69,HS/Some HS,Female,3347,57.23,33.18,94,65,47,37,31
Trail making part B,40,60-69,College/Some college/Associate's,Male,8271,53.52,30.0,86,61,45,36,30
Trail making part B,40,60-69,College/Some college/Associate's,Female,18499,51.65,28.75,82,58,43,35,30
Trail making part B,40,60-69,Professional deg./Ph.D./Master's,Male,5563,49.77,29.06,78,55,42,33,28
Trail making part B,40,60-69,Professional deg./Ph.D./Master's,Female,10743,48.63,26.87,74,54,41,34,29
Trail making part B,40,70-99,HS/Some HS,Male,631,74.33,42.18,127,87,63,46,38
Trail making part B,40,70-99,HS/Some HS,Female,1552,71.47,42.54,123,85,58,44,36
Trail making part B,40,70-99,College/Some college/Associate's,Male,3455,67.69,40.01,116,79,55,42,35
Trail making part B,40,70-99,College/Some college/Associate's,Female,6560,64.82,38.68,111,75,52,40,34
Trail making part B,40,70-99,Professional deg./Ph.D./Master's,Male,3050,63.97,38.44,109,73,52,40,33
Trail making part B,40,70-99,Professional deg./Ph.D./Master's,Female,3537,60.14,36.07,102,68,49,38,32
Grammatical reasoning,30,18-29,HS/Some HS,Male,5636,8.49,4.23,3,5,8,11,14
Grammatical reasoning,30,18-29,HS/Some HS,Female,2747,8.53,4.24,3,5,8,11,14
Grammatical reasoning,30,18-29,College/Some college/Associate's,Male,19610,9.82,4.4,4,7,10,13,15
Grammatical reasoning,30,18-29,College/Some college/Associate's,Female,15734,9.71,4.33,4,7,10,13,15
Grammatical reasoning,30,18-29,Professional deg./Ph.D./Master's,Male,3405,10.18,4.4,4,7,10,13,16
Grammatical reasoning,30,18-29,Professional deg./Ph.D./Master's,Female,3954,10.14,4.34,4,7,10,13,16
Grammatical reasoning,30,30-39,HS/Some HS,Male,1881,8.12,3.84,3,5,8,11,13
Grammatical reasoning,30,30-39,HS/Some HS,Female,1217,7.88,3.89,3,5,8,11,13
Grammatical reasoning,30,30-39,College/Some college/Associate's,Male,11313,9.35,4.11,4,6,9,12,15
Grammatical reasoning,30,30-39,College/Some college/Associate's,Female,10803,9.12,4.05,4,6,9,12,15
Grammatical reasoning,30,30-39,Professional deg./Ph.D./Master's,Male,5269,9.75,4.28,4,7,10,13,15
Grammatical reasoning,30,30-39,Professional deg./Ph.D./Master's,Female,6419,9.79,4.14,4,7,10,13,15
Grammatical reasoning,30,40-49,HS/Some HS,Male,1723,7.57,3.64,3,5,7,10,12
Grammatical reasoning,30,40-49,HS/Some HS,Female,1989,7.35,3.71,3,4,7,10,12
